question|description
1|Please indicate your current status at UMass:
2|How many CICS classes are you planning to enroll in before the add/drop period of the Fall 2024 semester? (You might want to take more classes than you are planing to keep by the end of the semester)
3|How many CICS classes are you planning to stay enrolled in after the add/drop period of the Fall 2024 semester?
4|Which categories of courses are you interested in taking? Select all that apply
5#1_1|Before 9:00 AM
5#1_2|9:00AM-10:00AM
5#1_3|10:00AM-11:00AM
5#1_4|11:00AM-12:00PM
5#1_5|12:00PM-1:00PM
5#1_6|1:00PM-2:00PM
5#1_7|2:00PM-3:00PM
5#1_8|3:00PM-4:00PM
5#1_9|4:00PM-5:00PM
5#1_10|5:00PM-6:00PM
5#1_11|After 6:00PM
7 _1|<strong>Course:&nbsp;</strong>CICS 110-01 Foundations of Programming &nbsp;<strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>Reilly
7 _2|<strong>Course:&nbsp;</strong>CICS 110-02 Foundations of Programming &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 11:30 AM - 12:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Reilly
7 _3|<strong>Course:&nbsp;</strong>CICS 110-03 Foundations of Programming &nbsp;<strong>Schedule:&nbsp;</strong>MonWed 09:05 AM - 10:20 AM &nbsp;<strong>Instructor:&nbsp;</strong>Parvini
7 _4|<strong>Course:&nbsp;</strong>CICS 110-04 Foundations of Programming &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>STAFF
7 _5|<strong>Course:&nbsp;</strong>CICS 110-05 Foundations of Programming &nbsp;<strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>STAFF
7 _6|<strong>Course:&nbsp;</strong>CICS 110-06 Foundations of Programming &nbsp;<strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>STAFF
7 _7|<strong>Course:&nbsp;</strong>CICS 110-07 Foundations of Programming &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 10:00 AM - 11:15 AM &nbsp;<strong>Instructor:&nbsp;</strong>Chiu
7 _8|<strong>Course:&nbsp;</strong>CICS 160-01 Object-Oriented Programming &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 08:30 AM - 09:45 AM &nbsp;<strong>Instructor:&nbsp;</strong>Davila
7 _9|<strong>Course:&nbsp;</strong>CICS 160-02 Object-Oriented Programming &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 05:30 PM - 06:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Reilly
7 _10|<strong>Course:&nbsp;</strong>CICS 208 Defending Democracy in a Digital World &nbsp;<strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Zuckerman
7 _11|<strong>Course:&nbsp;</strong>CICS 210-01 Data Structures &nbsp;<strong>Schedule:&nbsp;</strong>MonWed 05:30 PM - 06:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Golin
7 _12|<strong>Course:&nbsp;</strong>CICS 210-02 Data Structures &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>Richards
7 _13|<strong>Course:&nbsp;</strong>CICS 237- Introduction to Research in the Discipline &nbsp;<strong>Schedule:&nbsp;</strong>Tue 10:00 AM - 11:15 AM &nbsp;<strong>Instructor:&nbsp;</strong>Thota
7 _14|<strong>Course:&nbsp;</strong>CICS 256-01 Make: A Hands-on Introduction to Physical Computing &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>Wang
7 _15|<strong>Course:&nbsp;</strong>CICS 291T-01 Seminar - CICS Transfer Success &nbsp;<strong>Schedule:&nbsp;</strong>Wed 10:00 AM - 10:50 AM &nbsp;<strong>Instructor:&nbsp;</strong>Anderson
7 _16|<strong>Course:&nbsp;</strong>CICS 298A-01 Practicum - Leadership: Communicating Across Expertise &nbsp;<strong>Schedule:&nbsp;</strong>Fri 11:30 AM - 12:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Anderson
7 _17|<strong>Course:&nbsp;</strong>CICS 298A-02 Practicum - Leadership: Communicating Across Expertise &nbsp;<strong>Schedule:&nbsp;</strong>Wed 11:30 AM - 12:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Anderson
7 _18|<strong>Course:&nbsp;</strong>CICS 298A-03 Practicum - Leadership: Communicating Across Expertise &nbsp;<strong>Schedule:&nbsp;</strong>Fri 02:30 PM - 03:45 PM &nbsp;<strong>Instructor:&nbsp;</strong> Anderson
7 _19|<strong>Course:&nbsp;</strong>CICS 305-01, 02 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 11:30 AM - 12:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Mei
7 _20|<strong>Course:&nbsp;</strong>CICS 305-03, 04 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 10:00 AM - 11:15 AM &nbsp;<strong>Instructor:&nbsp;</strong>Trim
7 _21|<strong>Course:&nbsp;</strong>CICS 305-05, 06 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Obara
7 _22|<strong>Course:&nbsp;</strong>CICS 305-07, 08 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>Obara
7 _23|<strong>Course:&nbsp;</strong>CICS 305-09, 10 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>Butler
7 _24|<strong>Course:&nbsp;</strong>CICS 305-11, 12 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp;<strong>Instructor:&nbsp;</strong>Mei
7 _25|<strong>Course:&nbsp;</strong>CICS 305-13, 14 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 02:30 PM - 03:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>Butler
7 _26|<strong>Course:&nbsp;</strong>CICS 305-15, 16 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>MonWedFri 10:10 AM - 11:00 AM &nbsp;<strong>Instructor:&nbsp;</strong>Sutcliffe
7 _27|<strong>Course:&nbsp;</strong>CICS 305-17, 18 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>MonWedFri 11:15 AM - 12:05 PM &nbsp;<strong>Instructor:&nbsp;</strong>Gunther
7 _28|<strong>Course:&nbsp;</strong>CICS 305-19, 20 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>MonWedFri 12:20 PM - 01:10 PM &nbsp;<strong>Instructor:&nbsp;</strong>Gunther
7 _29|<strong>Course:&nbsp;</strong>CICS 305-21, 22 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>TueThu 11:30 AM - 12:45 PM &nbsp;<strong>Instructor:&nbsp;</strong>STAFF
7 _30|<strong>Course:&nbsp;</strong>CICS 305-23, 24 Social Issues in Computing &nbsp;<strong>Schedule:&nbsp;</strong>MonWedFri 09:05 AM - 09:55 AM &nbsp;<strong>Instructor:&nbsp;</strong>Sutcliffe
7_1|<strong>Course:&nbsp;</strong>COMPSCI 119-01 Introduction to Programming &nbsp; <strong>Schedule:&nbsp;</strong>MonWedFri 01:25 PM - 02:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Poh
7_2|<strong>Course:&nbsp;</strong>COMPSCI 198C Practicum - Introduction to the C Programming Language &nbsp; <strong>Schedule:&nbsp;</strong>BY ARRANGEMENT &nbsp; <strong>Instructor:&nbsp;</strong>Chiu, Richards
7_3|<strong>Course:&nbsp;</strong>COMPSCI 220-01 Programming Methodology &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Minea
7_4|<strong>Course:&nbsp;</strong>COMPSCI 230-01 Computer Systems Principles &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM <strong> &nbsp;Instructor:&nbsp;</strong>Chiu
7_5|<strong>Course:&nbsp;</strong>COMPSCI 230-02 Computer Systems Principles &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM <strong> &nbsp;Instructor:&nbsp;</strong>Bovornkeeratiroj
7_6|<strong>Course:&nbsp;</strong>COMPSCI 240-01 Reasoning Under Uncertainty &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Lan
7_7|<strong>Course:&nbsp;</strong>COMPSCI 240-02 Reasoning Under Uncertainty &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Parvini
7_8|<strong>Course:&nbsp;</strong>COMPSCI 250-01 Introduction to Computation <strong>Schedule:&nbsp;</strong>MonWedFri 01:25 PM - 02:15 PM &nbsp; <strong>Instructors:&nbsp;</strong>Barrington
7_9|<strong>Course:&nbsp;</strong>COMPSCI 250-02 Introduction to Computation &nbsp; <strong>Schedule: </strong>MonWedFri 10:10 AM - 11:00 AM &nbsp; <strong>Instructors:&nbsp;</strong>Golin
7_10|<strong>Course:&nbsp;</strong>COMPSCI 311-01 Introduction to Algorithms &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 11:30 AM - 12:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Siegelmann
7_11|<strong>Course:&nbsp;</strong>COMPSCI 311-02 Introduction to Algorithms &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Parvini
7_12|<strong>Course:&nbsp;</strong>COMPSCI 320-01 Introduction to Software Engineering &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Brun
